Mod enabled 
==================================================================================
BALATRO JOKER POOL 100000 SAMPLES
==================================================================================
Active Mods Detected    : Balatro (v1.0.1o-FULL), Balatro Easy Mode (v1.0.2-beta), Debug (v1.0.0-beta), Lovely (v0.9.0), Steamodded (v1.0.0~BETA-1814a)
Active Deck             : Plasma Deck
Active Difficulty/Stake : White Stake
Jokers Appeared         : 144 / 150 items (Coverage: 96.00%)
Target Ideal Per Card   : 0.694% (~694.4 hits)
Healthy Hits Threshold  : 486 - 903 hits
Healthy Freq Threshold  : 0.486% - 0.903%
Pool Health Score       : 100.00% (144/144 in optimal range)
Pool Integrity Status   : FLAT / HEALTHY (PASS)
==================================================================================

Hologram                         | [Uncommon] | Hits:   778 | Freq:  0.778%
Shoot the Moon                   | [Common  ] | Hits:  1238 | Freq:  1.238%
Crafty Joker                     | [Common  ] | Hits:  1228 | Freq:  1.228%
Sly Joker                        | [Common  ] | Hits:  1225 | Freq:  1.225%
Raised Fist                      | [Common  ] | Hits:  1225 | Freq:  1.225%
Scholar                          | [Common  ] | Hits:  1223 | Freq:  1.223%
Juggler                          | [Common  ] | Hits:  1222 | Freq:  1.222%
Clever Joker                     | [Common  ] | Hits:  1221 | Freq:  1.221%
Droll Joker                      | [Common  ] | Hits:  1214 | Freq:  1.214%
Half Joker                       | [Common  ] | Hits:  1213 | Freq:  1.213%
Mad Joker                        | [Common  ] | Hits:  1212 | Freq:  1.212%
Zany Joker                       | [Common  ] | Hits:  1212 | Freq:  1.212%
Ice Cream                        | [Common  ] | Hits:  1211 | Freq:  1.211%
To Do List                       | [Common  ] | Hits:  1210 | Freq:  1.210%
Joker                            | [Common  ] | Hits:  1209 | Freq:  1.209%
Blue Joker                       | [Common  ] | Hits:  1209 | Freq:  1.209%
Credit Card                      | [Common  ] | Hits:  1207 | Freq:  1.207%
Splash                           | [Common  ] | Hits:  1205 | Freq:  1.205%
Ride the Bus                     | [Common  ] | Hits:  1203 | Freq:  1.203%
Drunkard                         | [Common  ] | Hits:  1202 | Freq:  1.202%
Scary Face                       | [Common  ] | Hits:  1200 | Freq:  1.200%
Odd Todd                         | [Common  ] | Hits:  1199 | Freq:  1.199%
Banner                           | [Common  ] | Hits:  1197 | Freq:  1.197%
Runner                           | [Common  ] | Hits:  1196 | Freq:  1.196%
8 Ball                           | [Common  ] | Hits:  1195 | Freq:  1.195%
Mystic Summit                    | [Common  ] | Hits:  1194 | Freq:  1.194%
Walkie Talkie                    | [Common  ] | Hits:  1194 | Freq:  1.194%
Reserved Parking                 | [Common  ] | Hits:  1194 | Freq:  1.194%
Jolly Joker                      | [Common  ] | Hits:  1191 | Freq:  1.191%
Misprint                         | [Common  ] | Hits:  1189 | Freq:  1.189%
Delayed Gratification            | [Common  ] | Hits:  1188 | Freq:  1.188%
Popcorn                          | [Common  ] | Hits:  1186 | Freq:  1.186%
Smiley Face                      | [Common  ] | Hits:  1183 | Freq:  1.183%
Photograph                       | [Common  ] | Hits:  1181 | Freq:  1.181%
Wrathful Joker                   | [Common  ] | Hits:  1180 | Freq:  1.180%
Crazy Joker                      | [Common  ] | Hits:  1180 | Freq:  1.180%
Wily Joker                       | [Common  ] | Hits:  1178 | Freq:  1.178%
Gluttonous Joker                 | [Common  ] | Hits:  1177 | Freq:  1.177%
Mail-In Rebate                   | [Common  ] | Hits:  1177 | Freq:  1.177%
Egg                              | [Common  ] | Hits:  1174 | Freq:  1.174%
Superposition                    | [Common  ] | Hits:  1173 | Freq:  1.173%
Lusty Joker                      | [Common  ] | Hits:  1173 | Freq:  1.173%
Hanging Chad                     | [Common  ] | Hits:  1170 | Freq:  1.170%
Green Joker                      | [Common  ] | Hits:  1170 | Freq:  1.170%
Business Card                    | [Common  ] | Hits:  1166 | Freq:  1.166%
Greedy Joker                     | [Common  ] | Hits:  1165 | Freq:  1.165%
Golden Joker                     | [Common  ] | Hits:  1165 | Freq:  1.165%
Chaos the Clown                  | [Common  ] | Hits:  1164 | Freq:  1.164%
Hallucination                    | [Common  ] | Hits:  1162 | Freq:  1.162%
Riff-raff                        | [Common  ] | Hits:  1161 | Freq:  1.161%
Supernova                        | [Common  ] | Hits:  1156 | Freq:  1.156%
Fortune Teller                   | [Common  ] | Hits:  1153 | Freq:  1.153%
Red Card                         | [Common  ] | Hits:  1151 | Freq:  1.151%
Devious Joker                    | [Common  ] | Hits:  1151 | Freq:  1.151%
Swashbuckler                     | [Common  ] | Hits:  1146 | Freq:  1.146%
Faceless Joker                   | [Common  ] | Hits:  1143 | Freq:  1.143%
Gros Michel                      | [Common  ] | Hits:  1133 | Freq:  1.133%
Square Joker                     | [Common  ] | Hits:  1118 | Freq:  1.118%
Hack                             | [Uncommon] | Hits:   460 | Freq:  0.460%
Mr. Bones                        | [Uncommon] | Hits:   460 | Freq:  0.460%
Rough Gem                        | [Uncommon] | Hits:   455 | Freq:  0.455%
The Idol                         | [Uncommon] | Hits:   451 | Freq:  0.451%
Certificate                      | [Uncommon] | Hits:   450 | Freq:  0.450%
Castle                           | [Uncommon] | Hits:   448 | Freq:  0.448%
Four Fingers                     | [Uncommon] | Hits:   443 | Freq:  0.443%
Arrowhead                        | [Uncommon] | Hits:   442 | Freq:  0.442%
Bootstraps                       | [Uncommon] | Hits:   441 | Freq:  0.441%
Hiker                            | [Uncommon] | Hits:   440 | Freq:  0.440%
Loyalty Card                     | [Uncommon] | Hits:   436 | Freq:  0.436%
Bloodstone                       | [Uncommon] | Hits:   435 | Freq:  0.435%
Fibonacci                        | [Uncommon] | Hits:   434 | Freq:  0.434%
Matador                          | [Uncommon] | Hits:   433 | Freq:  0.433%
Throwback                        | [Uncommon] | Hits:   431 | Freq:  0.431%
Spare Trousers                   | [Uncommon] | Hits:   429 | Freq:  0.429%
Sixth Sense                      | [Uncommon] | Hits:   428 | Freq:  0.428%
Troubadour                       | [Uncommon] | Hits:   426 | Freq:  0.426%
Trading Card                     | [Uncommon] | Hits:   425 | Freq:  0.425%
Onyx Agate                       | [Uncommon] | Hits:   425 | Freq:  0.425%
Turtle Bean                      | [Uncommon] | Hits:   423 | Freq:  0.423%
Ramen                            | [Uncommon] | Hits:   423 | Freq:  0.423%
Luchador                         | [Uncommon] | Hits:   418 | Freq:  0.418%
Pareidolia                       | [Uncommon] | Hits:   418 | Freq:  0.418%
Burglar                          | [Uncommon] | Hits:   417 | Freq:  0.417%
Hologram                         | [Uncommon] | Hits:   417 | Freq:  0.417%
Space Joker                      | [Uncommon] | Hits:   416 | Freq:  0.416%
Dusk                             | [Uncommon] | Hits:   413 | Freq:  0.413%
Joker Stencil                    | [Uncommon] | Hits:   413 | Freq:  0.413%
Constellation                    | [Uncommon] | Hits:   412 | Freq:  0.412%
Seltzer                          | [Uncommon] | Hits:   411 | Freq:  0.411%
Cartomancer                      | [Uncommon] | Hits:   411 | Freq:  0.411%
Seance                           | [Uncommon] | Hits:   409 | Freq:  0.409%
Flower Pot                       | [Uncommon] | Hits:   407 | Freq:  0.407%
Rocket                           | [Uncommon] | Hits:   406 | Freq:  0.406%
Sock and Buskin                  | [Uncommon] | Hits:   406 | Freq:  0.406%
Astronomer                       | [Uncommon] | Hits:   404 | Freq:  0.404%
Seeing Double                    | [Uncommon] | Hits:   403 | Freq:  0.403%
Acrobat                          | [Uncommon] | Hits:   403 | Freq:  0.403%
Card Sharp                       | [Uncommon] | Hits:   402 | Freq:  0.402%
Midas Mask                       | [Uncommon] | Hits:   402 | Freq:  0.402%
Mime                             | [Uncommon] | Hits:   400 | Freq:  0.400%
Gift Card                        | [Uncommon] | Hits:   399 | Freq:  0.399%
Ceremonial Dagger                | [Uncommon] | Hits:   399 | Freq:  0.399%
Smeared Joker                    | [Uncommon] | Hits:   399 | Freq:  0.399%
Diet Cola                        | [Uncommon] | Hits:   398 | Freq:  0.398%
Satellite                        | [Uncommon] | Hits:   398 | Freq:  0.398%
Vampire                          | [Uncommon] | Hits:   398 | Freq:  0.398%
Marble Joker                     | [Uncommon] | Hits:   397 | Freq:  0.397%
Blackboard                       | [Uncommon] | Hits:   395 | Freq:  0.395%
Showman                          | [Uncommon] | Hits:   395 | Freq:  0.395%
Shortcut                         | [Uncommon] | Hits:   395 | Freq:  0.395%
Flash Card                       | [Uncommon] | Hits:   388 | Freq:  0.388%
To the Moon                      | [Uncommon] | Hits:   387 | Freq:  0.387%
Madness                          | [Uncommon] | Hits:   384 | Freq:  0.384%
Erosion                          | [Uncommon] | Hits:   384 | Freq:  0.384%
Merry Andy                       | [Uncommon] | Hits:   382 | Freq:  0.382%
Cloud 9                          | [Uncommon] | Hits:   379 | Freq:  0.379%
Bull                             | [Uncommon] | Hits:   377 | Freq:  0.377%
Oops! All 6s                     | [Uncommon] | Hits:   374 | Freq:  0.374%
Driver's License                 | [Rare    ] | Hits:   290 | Freq:  0.290%
DNA                              | [Rare    ] | Hits:   278 | Freq:  0.278%
The Trio                         | [Rare    ] | Hits:   277 | Freq:  0.277%
Baron                            | [Rare    ] | Hits:   274 | Freq:  0.274%
Campfire                         | [Rare    ] | Hits:   274 | Freq:  0.274%
The Order                        | [Rare    ] | Hits:   273 | Freq:  0.273%
Brainstorm                       | [Rare    ] | Hits:   272 | Freq:  0.272%
The Tribe                        | [Rare    ] | Hits:   264 | Freq:  0.264%
Wee Joker                        | [Rare    ] | Hits:   262 | Freq:  0.262%
The Family                       | [Rare    ] | Hits:   261 | Freq:  0.261%
Baseball Card                    | [Rare    ] | Hits:   257 | Freq:  0.257%
Obelisk                          | [Rare    ] | Hits:   254 | Freq:  0.254%
Ancient Joker                    | [Rare    ] | Hits:   254 | Freq:  0.254%
Hit the Road                     | [Rare    ] | Hits:   252 | Freq:  0.252%
Vagabond                         | [Rare    ] | Hits:   250 | Freq:  0.250%
Burnt Joker                      | [Rare    ] | Hits:   249 | Freq:  0.249%
Stuntman                         | [Rare    ] | Hits:   244 | Freq:  0.244%
Blueprint                        | [Rare    ] | Hits:   244 | Freq:  0.244%
The Duo                          | [Rare    ] | Hits:   234 | Freq:  0.234%
